trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type,start_latitude,start_longitude,dockcount,end_latitude,end_longitude,date
883570,747,2015-08-10 17:44:00.000000 UTC,Townsend at 7th,65,2015-08-10 17:57:00.000000 UTC,Market at 4th,76,538,94618,Subscriber,37.771058,-122.402717,15,37.786305,-122.404966,2015-08-10
882746,260,2015-08-10 09:12:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,2015-08-10 09:17:00.000000 UTC,Townsend at 7th,65,361,95051,Subscriber,37.776617,-122.39526,19,37.771058,-122.402717,2015-08-10
883253,705,2015-08-10 16:24:00.000000 UTC,Civic Center BART (7th at Market),72,2015-08-10 16:36:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,450,94062,Subscriber,37.780356,-122.412919,23,37.776377,-122.39607,2015-08-10
883208,538,2015-08-10 16:08:00.000000 UTC,St James Park,13,2015-08-10 16:17:00.000000 UTC,Japantown,9,223,95112,Subscriber,37.339301,-121.889937,15,37.348742,-121.894715,2015-08-10
882482,392,2015-08-10 08:07:00.000000 UTC,Harry Bridges Plaza (Ferry Building),50,2015-08-10 08:13:00.000000 UTC,2nd at Folsom,62,421,94949,Subscriber,37.795392,-122.394203,23,37.785299,-122.396236,2015-08-10
882718,1304,2015-08-10 09:07:00.000000 UTC,San Jose Diridon Caltrain Station,2,2015-08-10 09:28:00.000000 UTC,Santa Clara at Almaden,4,167,94110,Subscriber,37.329732,-121.901782,27,37.333988,-121.894902,2015-08-10
883715,545,2015-08-10 18:31:00.000000 UTC,2nd at Townsend,61,2015-08-10 18:40:00.000000 UTC,Steuart at Market,74,535,94612,Subscriber,37.780526,-122.390288,27,37.794139,-122.394434,2015-08-10
882899,679,2015-08-10 10:13:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,2015-08-10 10:24:00.000000 UTC,Harry Bridges Plaza (Ferry Building),50,604,94061,Subscriber,37.776617,-122.39526,19,37.795392,-122.394203,2015-08-10
882760,1039,2015-08-10 09:16:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,2015-08-10 09:33:00.000000 UTC,Embarcadero at Vallejo,48,483,95111,Subscriber,37.776617,-122.39526,19,37.799953,-122.398525,2015-08-10
882828,858,2015-08-10 09:42:00.000000 UTC,Spear at Folsom,49,2015-08-10 09:56:00.000000 UTC,Townsend at 7th,65,376,94105,Subscriber,37.789625,-122.390264,19,37.771058,-122.402717,2015-08-10
882796,1084,2015-08-10 09:30:00.000000 UTC,Clay at Battery,41,2015-08-10 09:48:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,425,94133,Subscriber,37.795001,-122.39997,15,37.776617,-122.39526,2015-08-10
882804,406,2015-08-10 09:32:00.000000 UTC,Powell Street BART,39,2015-08-10 09:39:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,360,94107,Subscriber,37.783871,-122.408433,19,37.776377,-122.39607,2015-08-10
883938,520,2015-08-10 21:06:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,2015-08-10 21:14:00.000000 UTC,Market at 4th,76,591,95054,Subscriber,37.776617,-122.39526,19,37.786305,-122.404966,2015-08-10
882951,983,2015-08-10 10:50:00.000000 UTC,2nd at South Park,64,2015-08-10 11:06:00.000000 UTC,Powell at Post (Union Square),71,413,94107,Subscriber,37.782259,-122.392738,15,37.788446,-122.408499,2015-08-10
883536,507,2015-08-10 17:35:00.000000 UTC,Market at 10th,67,2015-08-10 17:44:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,214,94025,Subscriber,37.776619,-122.417385,27,37.776377,-122.39607,2015-08-10
883257,394,2015-08-10 16:25:00.000000 UTC,Townsend at 7th,65,2015-08-10 16:31:00.000000 UTC,Civic Center BART (7th at Market),72,558,94518,Subscriber,37.771058,-122.402717,15,37.780356,-122.412919,2015-08-10
883874,898,2015-08-10 19:52:00.000000 UTC,Harry Bridges Plaza (Ferry Building),50,2015-08-10 20:07:00.000000 UTC,Townsend at 7th,65,461,94107,Subscriber,37.795392,-122.394203,23,37.771058,-122.402717,2015-08-10
882243,464,2015-08-10 05:39:00.000000 UTC,Powell Street BART,39,2015-08-10 05:46:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,67,94107,Subscriber,37.783871,-122.408433,19,37.776377,-122.39607,2015-08-10
882977,499,2015-08-10 11:37:00.000000 UTC,Market at Sansome,77,2015-08-10 11:45:00.000000 UTC,2nd at Townsend,61,448,94705,Subscriber,37.789625,-122.400811,27,37.780526,-122.390288,2015-08-10
882314,220,2015-08-10 07:10:00.000000 UTC,Townsend at 7th,65,2015-08-10 07:14:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,394,94107,Subscriber,37.771058,-122.402717,15,37.776377,-122.39607,2015-08-10
882773,220,2015-08-10 09:18:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,2015-08-10 09:21:00.000000 UTC,Townsend at 7th,65,558,94107,Subscriber,37.776377,-122.39607,23,37.771058,-122.402717,2015-08-10
883717,1337,2015-08-10 18:32:00.000000 UTC,Park at Olive,38,2015-08-10 18:54:00.000000 UTC,Mountain View Caltrain Station,28,41,94110,Subscriber,37.4256839,-122.1377775,15,37.394358,-122.076713,2015-08-10
882451,327,2015-08-10 08:02:00.000000 UTC,Powell at Post (Union Square),71,2015-08-10 08:07:00.000000 UTC,Howard at 2nd,63,611,94108,Subscriber,37.788446,-122.408499,19,37.786978,-122.398108,2015-08-10
883947,642,2015-08-10 21:24:00.000000 UTC,2nd at South Park,64,2015-08-10 21:35:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,379,94066,Subscriber,37.782259,-122.392738,15,37.776617,-122.39526,2015-08-10
882744,774,2015-08-10 09:12:00.000000 UTC,Market at 10th,67,2015-08-10 09:25:00.000000 UTC,2nd at Townsend,61,541,94107,Subscriber,37.776619,-122.417385,27,37.780526,-122.390288,2015-08-10
882848,389,2015-08-10 09:46:00.000000 UTC,Powell Street BART,39,2015-08-10 09:53:00.000000 UTC,Townsend at 7th,65,450,94518,Subscriber,37.783871,-122.408433,19,37.771058,-122.402717,2015-08-10
882268,747,2015-08-10 06:42:00.000000 UTC,Market at 10th,67,2015-08-10 06:54:00.000000 UTC,Washington at Kearny,46,443,94102,Subscriber,37.776619,-122.417385,27,37.795425,-122.404767,2015-08-10
882647,83,2015-08-10 08:52:00.000000 UTC,Spear at Folsom,49,2015-08-10 08:54:00.000000 UTC,Spear at Folsom,49,111,94608,Subscriber,37.789625,-122.390264,19,37.789625,-122.390264,2015-08-10
882543,464,2015-08-10 08:22:00.000000 UTC,Beale at Market,56,2015-08-10 08:30:00.000000 UTC,Broadway St at Battery St,82,527,94117,Subscriber,37.792251,-122.397086,19,37.798541,-122.400862,2015-08-10
882468,537,2015-08-10 08:04:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,2015-08-10 08:13:00.000000 UTC,Embarcadero at Folsom,51,591,94085,Subscriber,37.776377,-122.39607,23,37.791464,-122.391034,2015-08-10
883390,384,2015-08-10 17:06:00.000000 UTC,Howard at 2nd,63,2015-08-10 17:12:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,454,94041,Subscriber,37.786978,-122.398108,19,37.776377,-122.39607,2015-08-10
882653,535,2015-08-10 08:54:00.000000 UTC,Steuart at Market,74,2015-08-10 09:03:00.000000 UTC,2nd at Townsend,61,659,94612,Subscriber,37.794139,-122.394434,23,37.780526,-122.390288,2015-08-10
883774,1063,2015-08-10 18:53:00.000000 UTC,Civic Center BART (7th at Market),72,2015-08-10 19:11:00.000000 UTC,Commercial at Montgomery,45,591,94107,Subscriber,37.780356,-122.412919,23,37.794231,-122.402923,2015-08-10
882748,635,2015-08-10 09:13:00.000000 UTC,2nd at Townsend,61,2015-08-10 09:24:00.000000 UTC,Harry Bridges Plaza (Ferry Building),50,191,94107,Subscriber,37.780526,-122.390288,27,37.795392,-122.394203,2015-08-10
883185,899,2015-08-10 15:52:00.000000 UTC,Broadway St at Battery St,82,2015-08-10 16:07:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,269,95054,Subscriber,37.798541,-122.400862,15,37.776377,-122.39607,2015-08-10
882274,873,2015-08-10 06:45:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,2015-08-10 07:00:00.000000 UTC,Market at 10th,67,374,94306,Customer,37.776617,-122.39526,19,37.776619,-122.417385,2015-08-10
883389,524,2015-08-10 17:05:00.000000 UTC,2nd at Townsend,61,2015-08-10 17:14:00.000000 UTC,Harry Bridges Plaza (Ferry Building),50,271,94612,Subscriber,37.780526,-122.390288,27,37.795392,-122.394203,2015-08-10
882459,708,2015-08-10 08:04:00.000000 UTC,San Francisco Caltrain 2 (330 Townsend),69,2015-08-10 08:15:00.000000 UTC,Spear at Folsom,49,222,94080,Subscriber,37.776377,-122.39607,23,37.789625,-122.390264,2015-08-10
882249,561,2015-08-10 06:13:00.000000 UTC,Embarcadero at Sansome,60,2015-08-10 06:22:00.000000 UTC,2nd at Townsend,61,582,94111,Subscriber,37.80477,-122.403234,15,37.780526,-122.390288,2015-08-10
882316,241,2015-08-10 07:14:00.000000 UTC,2nd at Townsend,61,2015-08-10 07:18:00.000000 UTC,San Francisco Caltrain (Townsend at 4th),70,440,94107,Subscriber,37.780526,-122.390288,27,37.776617,-122.39526,2015-08-10
883587,179835,2015-08-10 17:50:00.000000 UTC,Palo Alto Caltrain Station,34,2015-08-12 19:48:00.000000 UTC,California Ave Caltrain Station,36,248,94306,Customer,37.443988,-122.164759,23,37.429082,-122.142805,2015-08-10
883028,127,2015-08-10 12:37:00.000000 UTC,Broadway St at Battery St,82,2015-08-10 12:39:00.000000 UTC,Clay at Battery,41,570,94618,Subscriber,37.798541,-122.400862,15,37.795001,-122.39997,2015-08-10
883771,371,2015-08-10 18:51:00.000000 UTC,Townsend at 7th,65,2015-08-10 18:57:00.000000 UTC,2nd at Townsend,61,538,94107,Subscriber,37.771058,-122.402717,15,37.780526,-122.390288,2015-08-10
